,DATE,MORTGAGE30US,year
0,2017-01-05,4.2,2017
1,2017-01-12,4.12,2017
2,2017-01-19,4.09,2017
3,2017-01-26,4.19,2017
4,2017-02-02,4.19,2017
5,2017-02-09,4.17,2017
6,2017-02-16,4.15,2017
7,2017-02-23,4.16,2017
8,2017-03-02,4.1,2017
9,2017-03-09,4.21,2017
10,2017-03-16,4.3,2017
11,2017-03-23,4.23,2017
12,2017-03-30,4.14,2017
13,2017-04-06,4.1,2017
14,2017-04-13,4.08,2017
15,2017-04-20,3.97,2017
16,2017-04-27,4.03,2017
17,2017-05-04,4.02,2017
18,2017-05-11,4.05,2017
19,2017-05-18,4.02,2017
20,2017-05-25,3.95,2017
21,2017-06-01,3.94,2017
22,2017-06-08,3.89,2017
23,2017-06-15,3.91,2017
24,2017-06-22,3.9,2017
25,2017-06-29,3.88,2017
26,2017-07-06,3.96,2017
27,2017-07-13,4.03,2017
28,2017-07-20,3.96,2017
29,2017-07-27,3.92,2017
30,2017-08-03,3.93,2017
31,2017-08-10,3.9,2017
32,2017-08-17,3.89,2017
33,2017-08-24,3.86,2017
34,2017-08-31,3.82,2017
35,2017-09-07,3.78,2017
36,2017-09-14,3.78,2017
37,2017-09-21,3.83,2017
38,2017-09-28,3.83,2017
39,2017-10-05,3.85,2017
40,2017-10-12,3.91,2017
41,2017-10-19,3.88,2017
42,2017-10-26,3.94,2017
43,2017-11-02,3.94,2017
44,2017-11-09,3.9,2017
45,2017-11-16,3.95,2017
46,2017-11-22,3.92,2017
47,2017-11-30,3.9,2017
48,2017-12-07,3.94,2017
49,2017-12-14,3.93,2017
50,2017-12-21,3.94,2017
51,2017-12-28,3.99,2017
52,2018-01-04,3.95,2018
53,2018-01-11,3.99,2018
54,2018-01-18,4.04,2018
55,2018-01-25,4.15,2018
56,2018-02-01,4.22,2018
57,2018-02-08,4.32,2018
58,2018-02-15,4.38,2018
59,2018-02-22,4.4,2018
60,2018-03-01,4.43,2018
61,2018-03-08,4.46,2018
62,2018-03-15,4.44,2018
63,2018-03-22,4.45,2018
64,2018-03-29,4.44,2018
65,2018-04-05,4.4,2018
66,2018-04-12,4.42,2018
67,2018-04-19,4.47,2018
68,2018-04-26,4.58,2018
69,2018-05-03,4.55,2018
70,2018-05-10,4.55,2018
71,2018-05-17,4.61,2018
72,2018-05-24,4.66,2018
73,2018-05-31,4.56,2018
74,2018-06-07,4.54,2018
75,2018-06-14,4.62,2018
76,2018-06-21,4.57,2018
77,2018-06-28,4.55,2018
78,2018-07-05,4.52,2018
79,2018-07-12,4.53,2018
80,2018-07-19,4.52,2018
81,2018-07-26,4.54,2018
82,2018-08-02,4.6,2018
83,2018-08-09,4.59,2018
84,2018-08-16,4.53,2018
85,2018-08-23,4.51,2018
86,2018-08-30,4.52,2018
87,2018-09-06,4.54,2018
88,2018-09-13,4.6,2018
89,2018-09-20,4.65,2018
90,2018-09-27,4.72,2018
91,2018-10-04,4.71,2018
92,2018-10-11,4.9,2018
93,2018-10-18,4.85,2018
94,2018-10-25,4.86,2018
95,2018-11-01,4.83,2018
96,2018-11-08,4.94,2018
97,2018-11-15,4.94,2018
98,2018-11-21,4.81,2018
99,2018-11-29,4.81,2018
100,2018-12-06,4.75,2018
101,2018-12-13,4.63,2018
102,2018-12-20,4.62,2018
103,2018-12-27,4.55,2018
104,2019-01-03,4.51,2019
105,2019-01-10,4.45,2019
106,2019-01-17,4.45,2019
107,2019-01-24,4.45,2019
108,2019-01-31,4.46,2019
109,2019-02-07,4.41,2019
110,2019-02-14,4.37,2019
111,2019-02-21,4.35,2019
112,2019-02-28,4.35,2019
113,2019-03-07,4.41,2019
114,2019-03-14,4.31,2019
115,2019-03-21,4.28,2019
116,2019-03-28,4.06,2019
117,2019-04-04,4.08,2019
118,2019-04-11,4.12,2019
119,2019-04-18,4.17,2019
120,2019-04-25,4.2,2019
121,2019-05-02,4.14,2019
122,2019-05-09,4.1,2019
123,2019-05-16,4.07,2019
124,2019-05-23,4.06,2019
125,2019-05-30,3.99,2019
126,2019-06-06,3.82,2019
127,2019-06-13,3.82,2019
128,2019-06-20,3.84,2019
129,2019-06-27,3.73,2019
130,2019-07-03,3.75,2019
131,2019-07-11,3.75,2019
132,2019-07-18,3.81,2019
133,2019-07-25,3.75,2019
134,2019-08-01,3.75,2019
135,2019-08-08,3.6,2019
136,2019-08-15,3.6,2019
137,2019-08-22,3.55,2019
138,2019-08-29,3.58,2019
139,2019-09-05,3.49,2019
140,2019-09-12,3.56,2019
141,2019-09-19,3.73,2019
142,2019-09-26,3.64,2019
143,2019-10-03,3.65,2019
144,2019-10-10,3.57,2019
145,2019-10-17,3.69,2019
146,2019-10-24,3.75,2019
147,2019-10-31,3.78,2019
148,2019-11-07,3.69,2019
149,2019-11-14,3.75,2019
150,2019-11-21,3.66,2019
151,2019-11-27,3.68,2019
152,2019-12-05,3.68,2019
153,2019-12-12,3.73,2019
154,2019-12-19,3.73,2019
155,2019-12-26,3.74,2019
156,2020-01-02,3.72,2020
157,2020-01-09,3.64,2020
158,2020-01-16,3.65,2020
159,2020-01-23,3.6,2020
160,2020-01-30,3.51,2020
161,2020-02-06,3.45,2020
162,2020-02-13,3.47,2020
163,2020-02-20,3.49,2020
164,2020-02-27,3.45,2020
165,2020-03-05,3.29,2020
166,2020-03-12,3.36,2020
167,2020-03-19,3.65,2020
168,2020-03-26,3.5,2020
169,2020-04-02,3.33,2020
170,2020-04-09,3.33,2020
171,2020-04-16,3.31,2020
172,2020-04-23,3.33,2020
173,2020-04-30,3.23,2020
174,2020-05-07,3.26,2020
175,2020-05-14,3.28,2020
176,2020-05-21,3.24,2020
177,2020-05-28,3.15,2020
178,2020-06-04,3.18,2020
179,2020-06-11,3.21,2020
180,2020-06-18,3.13,2020
181,2020-06-25,3.13,2020
182,2020-07-02,3.07,2020
183,2020-07-09,3.03,2020
184,2020-07-16,2.98,2020
185,2020-07-23,3.01,2020
186,2020-07-30,2.99,2020
187,2020-08-06,2.88,2020
188,2020-08-13,2.96,2020
189,2020-08-20,2.99,2020
190,2020-08-27,2.91,2020
191,2020-09-03,2.93,2020
192,2020-09-10,2.86,2020
193,2020-09-17,2.87,2020
194,2020-09-24,2.9,2020
195,2020-10-01,2.88,2020
196,2020-10-08,2.87,2020
197,2020-10-15,2.81,2020
198,2020-10-22,2.8,2020
199,2020-10-29,2.81,2020
200,2020-11-05,2.78,2020
201,2020-11-12,2.84,2020
202,2020-11-19,2.72,2020
203,2020-11-25,2.72,2020
204,2020-12-03,2.71,2020
205,2020-12-10,2.71,2020
206,2020-12-17,2.67,2020
207,2020-12-24,2.66,2020
208,2020-12-31,2.67,2020
209,2021-01-07,2.65,2021
210,2021-01-14,2.79,2021
211,2021-01-21,2.77,2021
212,2021-01-28,2.73,2021
213,2021-02-04,2.73,2021
214,2021-02-11,2.73,2021
215,2021-02-18,2.81,2021
216,2021-02-25,2.97,2021
217,2021-03-04,3.02,2021
