,month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,year,state_id
0,2024-03-01,56339,"HOFFMAN, MN",147400.0,0.0,0.1347,4.0,-0.1111,3.0,266.0,0.1722,32.1875,0.0,,-1.0,0.0,,,0.0,,,4.0,0.1429,3.0,132.0,0.0,0.0,1108.0,-0.122,0.126,154900.0,0.0,0.134,8.0,0.0,4.3333,1.0,0.2222,0.0,1.0,2024,MN
1,2024-03-01,67002,"ANDOVER, KS",435418.0,0.0602,0.0492,63.0,0.1053,0.3404,47.0,-0.5939,-0.2648,28.0,-0.0667,0.0769,4.0,1.0,0.0,12.0,0.2,-0.1429,44.0,0.1579,0.0732,189.0,0.005,0.0237,2389.0,0.0287,-0.0669,499598.0,0.0305,0.0831,107.0,0.1204,0.2159,0.6984,0.0317,-0.1739,0.0,2024,KS
2,2024-03-01,47501,"WASHINGTON, IN",241950.0,0.0095,0.0136,38.0,-0.0256,1.1111,69.0,-0.0831,0.8278,20.0,0.1111,0.25,0.0,,,12.0,0.5,2.0,19.0,0.1176,,131.0,0.0238,0.0097,1765.0,0.0253,-0.0437,248005.0,0.03,-0.0632,58.0,0.045,2.1351,0.5,0.0641,0.5,0.0,2024,IN
3,2024-03-01,85322,"ARLINGTON, AZ",419750.0,-0.0006,0.0562,1.0,0.0,0.0,117.0,0.3684,5.3243,0.0,,,0.0,,,0.0,,,1.0,0.0,,234.0,-0.0006,0.0562,1795.0,0.0,0.0,419750.0,-0.0006,0.0562,1.0,-0.3333,0.0,1.0,0.0,,1.0,2024,AZ
4,2024-03-01,96793,"WAILUKU, HI",1200000.0,0.0002,0.2622,41.0,0.1233,-0.012,47.0,-0.06,-0.2231,36.0,1.0,1.0,0.0,,,12.0,0.5,0.2,49.0,0.0538,0.2564,816.0,0.0318,0.1796,1390.0,0.0285,-0.0128,1284773.0,-0.0176,-0.0902,91.0,0.103,0.1447,1.1951,-0.0789,0.2554,1.0,2024,HI
5,2024-03-01,72460,"RAVENDEN SPRINGS, AR",1500000.0,4.1742,1.9499,1.0,,-0.5,16.0,-0.9367,-0.8658,0.0,,,0.0,,,0.0,,,2.0,-0.2,,193.0,0.3329,-0.2334,7764.0,2.882,2.9542,1500000.0,4.1742,1.9499,3.0,0.2,0.5,2.0,,,1.0,2024,AR
6,2024-03-01,26254,"BOWDEN, WV",99000.0,,,1.0,,,3.0,,,2.0,,,0.0,,,0.0,,,1.0,,,295.0,,,336.0,,,99000.0,,,1.0,,,1.0,,,0.0,2024,WV
7,2024-03-01,68360,"GARLAND, NE",1162500.0,0.86,,2.0,1.0,,20.0,9.0,,0.0,-1.0,,0.0,,,0.0,,,1.0,,,424.0,1.0273,,2822.0,-0.0548,,1162500.0,0.86,,3.0,2.0,,0.5,,,0.0,2024,NE
8,2024-03-01,98617,"DALLESPORT, WA",549900.0,0.0289,-0.0632,4.0,-0.1111,0.0,26.0,-0.8944,-0.68,0.0,,,0.0,,,0.0,,,2.0,1.0,,265.0,0.1235,0.0905,1940.0,-0.0251,-0.1068,504675.0,-0.1999,-0.2718,6.0,0.3333,0.5,0.5,0.2778,,1.0,2024,WA
9,2024-03-01,80215,"DENVER, CO",599000.0,0.0,-0.3288,26.0,0.3,1.1667,31.0,1.0328,0.1071,20.0,-0.1667,0.25,0.0,,,20.0,0.4286,1.5,19.0,0.6522,0.2667,323.0,-0.0644,0.0262,1883.0,-0.0052,-0.2875,712840.0,-0.0824,-0.1485,46.0,0.4375,0.7692,0.7308,0.1558,-0.5192,1.0,2024,CO
10,2024-03-01,76828,"BURKETT, TX",59900.0,-0.7366,-0.9364,1.0,-0.5,-0.75,31.0,1.6957,-0.7549,0.0,,,0.0,,,0.0,,,1.0,,,52.0,-0.6561,-0.8022,1143.0,-0.1558,-0.4724,59900.0,-0.7366,-0.9393,2.0,0.0,-0.5,1.0,,,1.0,2024,TX
11,2024-03-01,60479,"VERONA, IL",59950.0,-0.0469,-0.4449,1.0,0.0,0.0,78.0,0.6774,-0.6702,0.0,,,0.0,,,0.0,,,2.0,1.0,,39.0,-0.0469,-0.2632,1552.0,0.0,-0.2466,59950.0,-0.0469,-0.4449,3.0,0.5,2.0,2.0,1.0,,1.0,2024,IL
12,2024-03-01,81413,"CEDAREDGE, CO",549000.0,-0.0013,-0.1547,41.0,0.0513,0.6735,151.0,0.0559,0.6639,16.0,1.6667,0.3333,0.0,,,4.0,1.0,1.0,11.0,0.0476,0.6923,268.0,-0.0225,-0.0033,1895.0,0.0085,-0.0831,752045.0,-0.0222,-0.3491,51.0,0.0099,0.6452,0.2683,-0.0009,0.003,1.0,2024,CO
13,2024-03-01,34715,"CLERMONT, FL",545000.0,0.014,-0.0136,73.0,0.0815,0.46,42.0,-0.2814,-0.1574,56.0,0.1667,0.2174,4.0,-0.5,-0.3333,32.0,-0.1111,0.4545,66.0,0.4348,-0.3333,239.0,0.0068,0.0558,2269.0,-0.0091,-0.033,627549.0,0.005,-0.0064,140.0,0.2335,-0.0604,0.9041,0.2226,-1.0759,1.0,2024,FL
14,2024-03-01,85711,"TUCSON, AZ",337886.0,0.0358,0.0979,54.0,-0.0769,0.2273,39.0,0.1159,-0.1397,40.0,0.0,0.0526,0.0,-1.0,-1.0,16.0,-0.3846,0.3333,59.0,0.1346,0.4937,227.0,0.0101,0.0897,1512.0,0.0119,-0.009,373142.0,0.0565,-0.0134,113.0,-0.0088,0.3533,1.0926,0.2037,0.1949,0.0,2024,AZ
15,2024-03-01,64058,"INDEPENDENCE, MO",289000.0,0.4254,-0.0326,8.0,0.0667,0.6,39.0,0.0267,-0.3362,8.0,0.3333,1.0,0.0,,,8.0,0.3333,3.0,11.0,-0.0435,-0.3714,156.0,0.083,-0.1364,1792.0,0.3918,-0.0044,281240.0,0.1397,-0.0822,18.0,-0.0526,-0.234,1.375,-0.1583,-2.125,1.0,2024,MO
16,2024-03-01,91737,"RANCHO CUCAMONGA, CA",998900.0,-0.1168,-0.1462,14.0,-0.0345,-0.3333,42.0,0.1216,0.3387,12.0,-0.3333,-0.4,0.0,,,0.0,-1.0,-1.0,15.0,0.7647,-0.0625,465.0,0.0431,0.0338,2327.0,-0.1251,-0.1439,1157231.0,-0.0039,-0.139,29.0,0.2609,-0.2055,1.0714,0.4852,0.3095,1.0,2024,CA
17,2024-03-01,20646,"LA PLATA, MD",545000.0,-0.0091,0.0902,34.0,-0.0556,-0.1392,35.0,-0.3268,-0.0282,36.0,0.0588,0.0,0.0,-1.0,-1.0,8.0,0.3333,-0.2,52.0,-0.0459,0.3165,214.0,-0.0303,0.0293,2585.0,0.1189,0.0937,561277.0,-0.0166,0.0401,86.0,-0.0391,0.1026,1.5294,0.0155,0.5294,0.0,2024,MD
18,2024-03-01,10976,"SPARKILL, NY",3495000.0,0.2313,-0.2141,1.0,-0.3333,-0.5,171.0,0.2574,-0.228,0.0,,,0.0,,,0.0,,,,,,874.0,0.176,-0.1252,4000.0,0.0,0.0,3495000.0,0.2313,-0.2141,1.0,-0.3333,-0.5,,,,1.0,2024,NY
19,2024-03-01,94954,"PETALUMA, CA",925000.0,-0.0537,0.0027,19.0,-0.0952,-0.0732,44.0,-0.2574,0.1355,16.0,0.0,-0.2,0.0,-1.0,,8.0,1.0,1.0,12.0,0.2,-0.1429,559.0,0.0697,0.1919,2113.0,0.0242,0.0781,2891751.0,0.3881,0.7168,31.0,0.0,-0.1143,0.6316,0.1554,-0.0513,0.0,2024,CA
20,2024-03-01,43324,"HUNTSVILLE, OH",349900.0,-0.1983,0.0034,6.0,-0.0769,-0.2941,37.0,-0.5795,-0.433,4.0,0.0,0.0,0.0,,,0.0,,-1.0,3.0,2.0,-0.5385,301.0,-0.056,0.1347,1494.0,0.3025,0.2236,521780.0,-0.0065,0.4967,9.0,0.3846,-0.4,0.5,0.3462,-0.2647,0.0,2024,OH
21,2024-03-01,68107,"OMAHA, NE",198750.0,-0.1167,0.06,18.0,0.0286,1.5714,23.0,-0.4831,-0.2698,32.0,1.2857,1.6667,0.0,,,4.0,0.0,,21.0,1.3333,0.3125,142.0,0.038,-0.0726,1314.0,-0.2048,0.0104,206156.0,-0.0386,0.0544,36.0,0.3091,0.6,1.1667,0.6524,-1.119,1.0,2024,NE
22,2024-03-01,12827,"FORT ANN, NY",254000.0,0.3386,1.158,9.0,0.125,2.6,63.0,0.2115,1.5714,4.0,1.0,1.0,0.0,,,4.0,0.0,,8.0,0.2308,0.0667,144.0,-0.0071,0.8313,1318.0,-0.0638,-0.1949,369581.0,0.0103,2.0639,17.0,0.1724,0.7,0.8889,0.0764,-2.1111,1.0,2024,NY
23,2024-03-01,30233,"JACKSON, GA",329900.0,0.0318,0.0083,87.0,-0.0169,-0.0114,45.0,-0.2105,-0.2885,40.0,0.4286,0.1765,0.0,,-1.0,28.0,0.1667,0.2727,46.0,0.3939,-0.0108,183.0,0.0533,0.1839,1893.0,-0.0018,-0.0873,459393.0,0.0449,0.2046,133.0,0.113,-0.0037,0.5287,0.1559,0.0003,0.0,2024,GA
24,2024-03-01,91767,"POMONA, CA",668000.0,0.0007,0.0496,23.0,0.122,0.2432,31.0,-0.0746,0.0333,32.0,0.6,0.3333,4.0,,,0.0,-1.0,-1.0,20.0,-0.0698,0.0,465.0,0.0319,0.0938,1375.0,-0.0519,-0.0521,654155.0,-0.0206,0.0487,43.0,0.0617,0.1316,0.8696,-0.1792,-0.2115,0.0,2024,CA
